,user_id,ProductId,rating
0,5641,1545,1
1,6937,2841,1
2,5956,1860,4
3,3928,80,1
4,80,1931,3
5,6027,351,5
6,351,1973,3
7,6069,1891,3
8,1891,54,3
9,4150,1603,3
10,5699,1551,2
11,7907,803,1
12,5647,1010,1
13,803,2801,5
14,5106,281,4
15,2801,1680,5
16,4377,1900,3
17,1680,1341,1
18,3301,1532,4
19,1900,1674,2
20,1341,2135,3
21,7739,2435,4
22,2961,1692,5
23,1532,1901,5
24,5770,1925,2
25,7262,2464,4
26,6231,898,5
27,2435,2806,5
28,5788,1748,4
29,1901,613,4
30,6021,1029,4
31,2464,2652,2
32,4994,2884,2
33,3214,136,4
34,6902,2098,1
35,5844,2366,3
36,4709,783,2
37,1029,764,2
38,2652,3,4
39,4028,890,3
40,2884,618,4
41,4232,2527,1
42,6194,1428,2
43,3504,2112,1
44,3778,284,5
45,2366,1394,3
46,4879,807,1
47,3768,2221,1
48,3016,275,3
49,4860,2241,3
50,3409,438,2
51,3,1739,1
52,890,274,3
53,4714,1609,2
54,2527,1550,5
55,1428,619,3
56,2112,18,1
57,3254,2117,4
58,4380,489,4
59,3897,2524,4
60,7407,2004,1
61,5490,2742,2
62,3999,2895,5
63,2993,14,3
64,3376,1210,4
65,7848,1485,4
66,3950,2411,5
67,807,132,3
68,2221,2631,5
69,275,1668,4
70,2241,1237,2
71,7097,395,1
72,7075,1240,5
73,4534,496,4
74,1739,644,5
75,4370,1201,3
76,5705,1836,3
77,1550,2085,5
78,619,1798,3
79,7199,840,5
80,18,2087,2
81,7222,1119,3
82,6213,2787,3
83,489,1195,1
84,3420,2901,3
85,6620,2144,3
86,6100,1651,4
87,2742,1101,5
88,6991,2363,3
89,7169,2151,5
90,4110,939,4
91,5306,2455,2
92,5581,2811,1
93,2411,1720,1
94,4228,227,2
95,2631,916,3
96,1668,1846,5
97,1237,2245,3
98,7888,447,4
99,395,819,4
100,5336,1477,2
101,3575,2468,3
102,4592,408,4
103,644,766,1
104,2922,1814,2
105,5297,410,2
106,3253,263,4
107,5932,1702,1
108,2085,1895,5
109,1798,1653,3
110,840,1211,5
111,6183,1759,4
112,3287,1844,5
113,5215,2335,5
114,6883,890,3
115,5291,2627,1
116,2901,244,2
117,6240,440,1
118,5747,2322,5
119,7918,814,3
120,3704,1510,5
121,5197,2138,5
122,7970,430,2
123,6459,804,1
124,6247,1041,2
125,5035,1549,1
126,6551,2670,5
127,7425,1092,3
128,2811,2269,1
129,1720,789,4
130,227,2187,3
131,916,2825,3
132,1846,474,4
133,6341,2761,5
134,4543,1439,2
135,4915,1933,4
136,1477,1683,2
137,6564,1374,5
138,4504,1629,1
139,4862,557,1
140,7690,1082,3
141,7089,2432,5
142,3569,769,3
143,1814,1610,3
144,410,1769,3
145,3511,695,2
146,263,1859,3
147,1702,1414,2
148,5991,1460,3
149,7291,347,3
150,5749,2083,1
151,5307,452,3
152,3368,863,4
153,3692,1999,5
154,1759,2743,3
155,5940,1102,2
156,2335,213,3
157,4986,2434,2
158,2627,1039,2
159,4340,1908,3
160,2969,149,5
161,4536,2217,3
162,6418,2491,4
163,4910,797,5
164,1510,2003,5
165,2138,2771,2
166,430,515,4
167,804,2624,1
168,1041,1240,3
169,5645,146,3
170,3539,1275,2
171,6766,478,2
172,5188,737,3
173,2269,2123,5
174,3296,1823,1
175,789,669,4
176,6283,1107,4
177,6921,999,5
178,4570,1426,3
179,6857,1931,1
180,5535,654,1
181,1933,2642,1
182,3062,2842,2
183,1683,656,4
184,1374,365,3
185,7032,2171,4
186,5725,2060,2
187,557,2662,1
188,3318,2087,3
189,1082,1909,1
190,6528,1815,1
191,769,2872,2
192,5706,314,2
193,1769,88,3
194,695,2740,4
195,3037,1969,4
196,5955,755,2
197,7825,2046,5
198,1414,507,4
199,5556,2742,3
200,347,1682,2
201,2083,706,5
202,4548,173,5
203,863,145,2
204,6095,1207,5
205,2743,2232,4
206,5198,84,5
207,4309,503,4
208,2434,1579,3
209,1039,1982,5
210,6004,2809,4
211,3362,2807,3
212,149,1830,1
213,6313,1649,3
214,3609,2162,1
215,7646,466,1
216,2491,2577,2
217,4893,1095,5
218,6099,995,1
219,6867,1761,1
220,3720,1846,4
221,3551,675,1
222,515,871,2
223,2624,1164,5
224,7026,1822,4
225,7299,1886,5
226,5336,452,3
227,4242,2725,1
228,7406,598,2
229,3803,2653,5
230,1275,2676,1
231,478,2373,4
232,4833,1748,3
233,2123,120,2
234,3510,830,2
235,1823,2142,3
236,3140,1523,5
237,669,805,5
